,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Imeni Poliny Osipenko,52.4201,136.4853,12.93,65,100,3.75,RU,1620866225
359,Westerland,54.9079,8.3033,9.4,100,90,3.6,DE,1620866225
360,Yakeshi,49.2833,120.7333,12.44,45,0,6.4,CN,1620866225
361,Chapais,49.7834,-74.8492,9.42,52,67,2.59,CA,1620866226
362,Maceió,-9.6658,-35.7353,23.93,84,40,2.94,BR,1620865961
363,Prince Rupert,54.3161,-130.3201,11.83,71,20,4.12,CA,1620866226
364,Hithadhoo,-0.6,73.0833,26.42,87,100,8.0,MV,1620866226
365,Muroto-misakicho,33.2833,134.15,19.98,84,100,6.69,JP,1620866227
366,Vila Velha,-20.3297,-40.2925,22.97,75,0,0.89,BR,1620866227
367,São Desidério,-12.3633,-44.9733,20.12,58,99,1.58,BR,1620866227
368,Praia da Vitória,38.7333,-27.0667,17.8,77,0,2.54,PT,1620866228
369,Otjiwarongo,-20.4637,16.6477,12.9,39,0,4.72,NA,1620866228
370,Kashkhatau,43.3185,43.608,10.0,76,0,2.0,RU,1620866229
371,Ürümqi,43.801,87.6005,12.0,54,0,2.0,CN,1620866229
372,Nishifukuma,33.7667,130.4667,21.67,87,96,2.97,JP,1620866229
373,Sitka,57.0531,-135.33,8.94,71,90,3.09,US,1620865938
374,Tarrafal,15.2833,-23.7667,22.21,85,3,7.32,CV,1620866230
375,Tarancón,40.0085,-3.0073,7.47,70,0,2.48,ES,1620866230
376,Labuhan,-6.8844,112.2051,27.35,78,100,2.83,ID,1620866230
377,Havre-St-Pierre,50.2334,-63.5986,7.0,57,90,2.06,CA,1620866231
378,Faro,37.0194,-7.9322,14.86,72,0,4.63,PT,1620866231
379,Ust-Nera,64.5667,143.2,2.54,99,100,1.91,RU,1620866231
380,Bonthe,7.5264,-12.505,27.03,84,100,1.63,SL,1620866232
381,Mormugao,15.4,73.8,28.0,94,40,2.57,IN,1620866232
382,Makar'yev,57.8797,43.8069,14.8,81,100,1.86,RU,1620866233
383,Vanavara,60.34,102.2797,5.88,44,6,1.82,RU,1620866233
384,Oriximiná,-1.7656,-55.8661,24.05,94,99,1.42,BR,1620866233
385,Terrace,54.5163,-128.6035,19.0,34,75,5.14,CA,1620866234
386,Tricase,39.9304,18.3553,16.03,76,2,7.21,IT,1620866234
387,Marsá Maţrūḩ,31.3525,27.2453,16.95,72,0,1.54,EG,1620866221
388,Laguna,38.421,-121.4238,34.0,9,20,3.6,US,1620866235
389,Cabo San Lucas,22.8909,-109.9124,32.0,31,1,5.66,MX,1620866075
390,Halden,59.1226,11.3871,9.44,93,90,1.54,NO,1620866235
391,Srebrenica,44.1064,19.2969,8.59,85,97,1.97,BA,1620866235
392,The Valley,18.217,-63.0578,26.9,76,100,8.17,AI,1620866236
393,Kodīnar,20.7903,70.7031,27.5,76,100,5.04,IN,1620866236
394,Kaitangata,-46.2817,169.8464,8.33,62,10,3.58,NZ,1620866236
395,Elizabeth City,36.2946,-76.2511,12.99,88,75,2.57,US,1620866237
396,Port-Cartier,50.0334,-66.8654,8.15,69,93,3.74,CA,1620866237
397,Kutum,14.2,24.6667,23.93,41,3,2.52,SD,1620866238
398,Gravdal,68.1214,13.5031,4.83,94,100,8.23,NO,1620866238
399,Mitú,1.1983,-70.1733,22.31,97,20,0.87,CO,1620866007
400,Poção de Pedras,-4.6667,-44.85,26.02,76,100,0.67,BR,1620866239
401,Mayo,38.8876,-76.5119,16.08,68,1,0.45,US,1620866239
402,Khatanga,71.9667,102.5,-0.43,90,100,5.89,RU,1620866239
403,Halifax,44.6453,-63.5724,8.0,78,20,0.45,CA,1620866215
404,Saint-Louis,16.3333,-15.0,31.76,35,100,4.91,SN,1620866240
405,Terney,45.0503,136.6092,10.48,80,44,3.52,RU,1620866240
406,Ilulissat,69.2167,-51.1,3.78,56,65,5.66,GL,1620866240
407,Boca do Acre,-8.7522,-67.3978,22.67,98,73,0.73,BR,1620866241
408,Salalah,17.0151,54.0924,28.0,78,0,0.76,OM,1620866241
409,Hala,25.8131,68.4227,26.8,46,89,5.49,PK,1620866241
410,Nizhniy Kuranakh,58.8353,125.4869,3.99,98,100,0.99,RU,1620866242
411,Eureka,40.8021,-124.1637,14.39,83,2,0.45,US,1620866242
412,Anchorage,61.2181,-149.9003,14.26,48,75,0.89,US,1620866082
413,Kennett,36.2362,-90.0556,17.5,32,1,4.12,US,1620866242
414,Nanortalik,60.1432,-45.2371,4.96,67,10,3.07,GL,1620866243
415,Māngrol,21.1167,70.1167,28.07,76,100,5.36,IN,1620866243
416,Pointe Michel,15.25,-61.3833,26.19,76,100,6.47,DM,1620866243
417,Puerto Escondido,15.85,-97.0667,30.0,70,1,3.09,MX,1620866244
418,Iqaluit,63.7506,-68.5145,0.69,80,75,8.05,CA,1620866244
419,Upernavik,72.7868,-56.1549,-1.18,91,100,4.28,GL,1620866244
420,Beringovskiy,63.05,179.3167,0.16,99,100,3.04,RU,1620866245
421,Shelburne,44.0787,-80.2041,11.83,69,5,4.76,CA,1620866245
422,Malazgirt,39.1427,42.5401,10.48,54,19,1.43,TR,1620866245
423,Kiruna,67.8557,20.2251,0.59,100,90,2.57,SE,1620866246
424,Novobirilyussy,56.9514,90.6661,10.67,50,1,2.64,RU,1620866246
425,Fuling,29.7022,107.3919,23.07,88,100,1.43,CN,1620866247
426,Srednekolymsk,67.45,153.6833,-1.44,86,95,4.15,RU,1620866247
427,Inhambane,-23.865,35.3833,20.12,68,0,2.28,MZ,1620866247
428,Maunabo,18.0072,-65.8993,26.89,85,100,5.14,PR,1620866248
429,Nyrob,60.733,56.7202,12.86,84,83,0.75,RU,1620866248
430,Pyrzyce,53.1462,14.8926,13.09,98,100,4.77,PL,1620866248
431,High Level,58.5169,-117.136,8.88,71,75,1.81,CA,1620866248
432,Kholmogory,64.2229,41.656,8.99,72,0,1.68,RU,1620866249
433,Port Blair,11.6667,92.75,29.22,72,42,1.55,IN,1620866249
434,Hjelset,62.7833,7.4833,9.0,76,90,4.63,NO,1620866250
435,Vytegra,61.0064,36.4481,12.28,87,0,2.37,RU,1620866250
436,Zacamulpa,19.3564,-99.3333,17.0,67,90,6.69,MX,1620866251
437,Tura,25.5198,90.2201,22.03,87,49,0.82,IN,1620866251
438,Madang,-5.2246,145.7966,29.46,65,44,1.77,PG,1620866251
439,Brae,60.3964,-1.353,6.94,78,99,6.48,GB,1620866252
440,Kiryat Gat,31.61,34.7642,18.89,100,0,1.34,IL,1620866252
441,Camaná,-16.6228,-72.7111,19.62,78,73,1.9,PE,1620866252
442,Araouane,18.9048,-3.5265,32.72,9,15,7.77,ML,1620866253
443,Tilichiki,60.4667,166.1,-0.82,92,61,2.85,RU,1620865990
444,Vardø,70.3705,31.1107,5.38,90,100,3.11,NO,1620866253
445,Kargasok,59.0556,80.8572,6.4,86,100,4.55,RU,1620866253
446,Trois-Rivières,46.3501,-72.5491,15.0,31,51,2.06,CA,1620866254
447,Kalabo,-14.97,22.6814,14.04,61,0,2.1,ZM,1620866254
448,Huarmey,-10.0681,-78.1522,19.35,84,7,2.84,PE,1620866255
449,Phayao,19.25,100.25,25.47,68,0,0.44,TH,1620866255
450,Changzhou,31.7833,119.9667,20.51,78,91,3.49,CN,1620866192
451,Cravo Norte,6.3017,-70.2041,24.13,92,90,2.29,CO,1620866255
452,Rosário do Sul,-30.2583,-54.9142,9.2,76,0,1.42,BR,1620866256
453,Basqal,40.7552,48.391,12.03,44,8,1.88,AZ,1620866256
454,Pincher Creek,49.4833,-113.952,10.56,36,20,6.17,CA,1620866256
455,Barcelona,41.3888,2.159,17.49,78,20,1.34,ES,1620865758
456,Daro,8.5185,-9.569,20.93,99,100,0.46,GN,1620866257
457,Jinchang,38.4953,102.1739,20.77,22,5,6.07,CN,1620866257
458,Ugoofaaru,5.6667,73.0,29.06,73,100,11.04,MV,1620866257
459,Cleburne,32.3476,-97.3867,15.18,87,90,4.63,US,1620866258
460,Palmer,42.1584,-72.3287,14.29,57,75,1.16,US,1620866258
461,Sørkjosen,69.8,20.9333,4.05,93,100,0.91,NO,1620866258
462,Mareeba,-17.0,145.4333,26.27,54,0,1.39,AU,1620866259
463,Vredendal,-31.6683,18.5012,11.56,84,0,0.83,ZA,1620866259
464,Yamada,39.4667,141.95,17.64,68,31,5.78,JP,1620866259
465,Katsuura,35.1333,140.3,17.78,93,100,7.24,JP,1620866260
466,Ambon City,-3.6954,128.1814,28.93,80,40,5.24,ID,1620866260
467,Charyshskoye,51.3978,83.5598,11.22,65,14,1.63,RU,1620866261
468,Nakamura,32.9833,132.9333,20.44,83,100,0.39,JP,1620866261
469,Pirapó,-26.85,-55.5333,9.55,81,0,1.31,PY,1620866261
470,Karatsu,33.4425,129.9697,21.61,78,90,0.89,JP,1620866265
471,Skagen,57.7209,10.5839,11.09,89,60,3.14,DK,1620866265
472,Rāzampeta,14.1833,79.1667,29.42,69,100,1.17,IN,1620866266
473,Thinadhoo,0.5333,72.9333,27.21,83,100,9.2,MV,1620866266
474,Port-Gentil,-0.7193,8.7815,27.71,80,100,3.33,GA,1620866267
475,Namatanai,-3.6667,152.4333,29.51,67,4,1.53,PG,1620866267
476,Turukhansk,65.8167,87.9833,2.48,85,98,3.37,RU,1620866267
477,Jalu,29.0331,21.5482,25.99,14,0,2.83,LY,1620866268
478,Jinxi,30.4323,116.2922,24.64,75,100,1.17,CN,1620866268
479,Yangi Marg`ilon,40.4272,71.7189,12.54,59,0,0.42,UZ,1620866269
480,Comodoro Rivadavia,-45.8667,-67.5,14.66,38,0,5.14,AR,1620866269
481,Port Hardy,50.6996,-127.4199,13.0,82,75,5.14,CA,1620866270
482,Qui Nhon,13.7667,109.2333,29.42,72,11,1.42,VN,1620866270
483,Tutóia,-2.7619,-42.2744,25.65,86,10,2.09,BR,1620866270
484,Oyugis,-0.509,34.7358,15.88,90,100,1.44,KE,1620866271
485,Sioux Lookout,50.1001,-91.917,19.0,19,20,3.6,CA,1620866271
486,Dickinson,29.4608,-95.0513,20.56,82,91,2.24,US,1620866272
487,Plainview,40.7765,-73.4673,17.0,29,75,3.09,US,1620866151
488,Sarwār,26.0667,75.0,27.54,41,88,5.78,IN,1620866272
489,Montepuez,-13.1256,38.9997,17.55,96,92,2.49,MZ,1620866272
490,Lahad Datu,5.0268,118.327,27.86,81,86,0.53,MY,1620866273
491,Jianning,27.8333,113.15,21.68,98,100,1.39,CN,1620866273
492,Baoro,5.6667,15.9667,19.49,92,78,0.9,CF,1620866273
493,Verkh-Usugli,52.7,115.1667,7.33,29,0,4.46,RU,1620866274
494,Ledyard Center,41.4398,-72.0142,16.0,39,90,5.14,US,1620866274
495,Akdepe,42.0551,59.3788,18.0,36,0,4.12,TM,1620866275
496,Korla,41.7597,86.1469,16.94,22,100,5.88,CN,1620866275
497,Pak Phanang,8.3511,100.202,27.0,89,40,1.54,TH,1620866275
498,Linqiong,30.4159,103.4609,20.59,87,100,1.01,CN,1620866276
499,Bako,5.7833,36.5667,16.58,93,100,1.72,ET,1620866276
500,Manali,13.1667,80.2667,29.42,77,100,5.37,IN,1620866277
501,Darnah,32.767,22.6367,18.87,64,0,4.12,LY,1620866277
502,Knysna,-34.0363,23.0471,9.95,83,1,1.3,ZA,1620866277
503,Eyl,7.9803,49.8164,26.47,75,50,6.9,SO,1620866277
504,Kumluca,36.3703,30.2869,19.37,73,100,0.74,TR,1620866278
505,Yenagoa,4.9247,6.2642,24.57,93,55,1.23,NG,1620866278
506,Bull Savanna,17.8868,-77.5902,24.29,84,0,4.78,JM,1620866278
507,Boyolangu,-8.1181,111.8935,26.71,76,83,3.73,ID,1620866279
508,Tiznit Province,29.5833,-9.5,18.82,48,5,1.27,MA,1620866279
509,Mezen',65.8522,44.24,8.46,88,7,2.88,RU,1620866279
510,Calamar,10.2511,-74.9146,29.0,79,75,4.63,CO,1620866280
511,Boende,-0.2167,20.8667,21.82,94,100,0.46,CD,1620866280
512,Poltavka,54.3663,71.7632,10.84,49,100,3.29,RU,1620866281
513,Olinda,-8.0089,-34.8553,23.78,87,40,4.84,BR,1620866281
514,Copiapó,-27.3667,-70.3333,11.48,58,100,1.76,CL,1620865889
515,Bintulu,3.1667,113.0333,27.0,94,20,1.03,MY,1620866282
516,Tomatlán,19.9333,-105.25,30.04,51,31,3.5,MX,1620866282
517,Cobija,-11.0267,-68.7692,21.7,99,9,1.35,BO,1620866282
518,Solkan,45.9714,13.6494,13.72,93,100,1.21,SI,1620866283
519,At-Bashi,41.1702,75.8106,6.37,66,81,1.17,KG,1620866283
520,Villazón,-22.0866,-65.5942,8.63,59,100,4.19,BO,1620866283
521,Yatou,37.15,122.3833,18.81,69,100,2.99,CN,1620866284
522,Nishihara,26.1842,127.7558,27.57,83,75,5.34,JP,1620866284
523,Hamilton,39.1834,-84.5333,14.77,71,1,2.51,US,1620866250
524,Chipiona,36.7366,-6.437,17.95,63,0,7.94,ES,1620866285
525,Najrān,17.4924,44.1277,20.5,31,67,1.65,SA,1620866285
526,Anadyr,64.75,177.4833,1.0,98,75,9.83,RU,1620866285
527,Burns Lake,54.2331,-125.7533,17.0,29,98,3.09,CA,1620866286
528,Neryungri,56.6709,124.6491,1.12,100,100,2.01,RU,1620866286
529,Nhulunbuy,-12.2333,136.7667,30.0,51,75,6.69,AU,1620866286
530,Puerto Peñasco,31.3167,-113.5333,26.11,72,0,1.79,MX,1620866287
531,Unión de Tula,19.9667,-104.2667,26.57,46,46,4.16,MX,1620866287
532,Saint-Philippe,-21.3585,55.7679,24.65,83,41,5.12,RE,1620866288
533,Coyhaique,-45.5752,-72.0662,11.0,50,75,3.09,CL,1620866288
534,Gamba,-2.65,10.0,25.87,89,100,1.82,GA,1620866289
535,Weiser,44.251,-116.9693,22.78,36,100,1.95,US,1620866289
536,Chumikan,54.7183,135.315,2.84,80,18,5.1,RU,1620866289
537,Dongsheng,39.8161,109.9776,20.52,50,0,7.74,CN,1620866290
538,Westport,41.1415,-73.3579,17.0,29,90,2.57,US,1620866290
539,Kimbe,-5.5502,150.1429,30.71,65,81,1.63,PG,1620866290
540,Kawalu,-7.3817,108.2082,25.31,87,58,1.33,ID,1620866291
541,Upington,-28.4478,21.2561,5.74,46,0,0.51,ZA,1620866291
542,Aksu,41.1231,80.2644,15.52,40,84,3.59,CN,1620866291
543,Nyurba,63.2842,118.3319,6.88,38,0,2.16,RU,1620866292
544,Bontang,0.1333,117.5,27.66,83,100,0.74,ID,1620866063
545,Khāsh,28.2211,61.2158,20.13,20,28,1.56,IR,1620866292
546,Udachny,66.4167,112.4,2.6,73,100,4.58,RU,1620866293
547,Birobidzhan,48.8,132.95,9.06,91,99,1.2,RU,1620866293
548,Plettenberg Bay,-34.0527,23.3716,13.73,81,1,1.17,ZA,1620866293
549,Kamariótissa,40.4833,25.4667,11.0,62,0,1.0,GR,1620866294
550,Sokodé,8.9833,1.1333,21.39,83,0,0.0,TG,1620866294
551,Almaznyy,48.0448,40.045,11.56,86,34,3.0,RU,1620866294
552,Independência,-5.3964,-40.3086,23.12,72,6,1.2,BR,1620866295
553,Irbeyskoye,55.6428,95.4522,7.99,46,0,2.28,RU,1620866295
554,Santoña,43.4439,-3.4576,12.74,85,96,2.04,ES,1620866295
555,Empório,40.4833,21.55,10.77,75,1,1.81,GR,1620866296
556,Lázaro Cárdenas,17.9583,-102.2,28.64,68,35,3.36,MX,1620866296
557,Renfrew,55.872,-4.3925,8.95,87,51,3.6,GB,1620866296
558,Ostrovnoy,68.0531,39.5131,5.0,88,100,6.01,RU,1620866297
559,Kirkwall,58.9848,-2.9587,7.0,87,90,4.12,GB,1620866297
560,Gwanda,-20.9333,29.0,12.92,56,0,1.73,ZW,1620866297
561,Galesong,-5.3166,119.3661,26.0,89,20,1.54,ID,1620866298
562,Chiang Klang,19.2938,100.8617,24.26,83,0,0.47,TH,1620866298
563,Kalemie,-5.9475,29.1947,19.95,88,0,0.52,CD,1620866299
564,Ghanzi,-21.5667,21.7833,13.44,39,0,1.91,BW,1620866299
565,Barcelos,41.5388,-8.6151,13.73,88,98,2.04,PT,1620866299
566,Kayes,14.0,-11.0,32.95,34,92,1.77,ML,1620866300
567,Nelson Bay,-32.7167,152.15,21.11,78,49,0.89,AU,1620866300
568,Urucará,-2.5364,-57.76,23.32,97,100,0.93,BR,1620866300
